,K,BSA,N,replication,Pr(MC),Time(MC),# Events(MC),# Cycles(MC),E(T),# Cycles(E(T)),Pr(FV),Time(FV),# Events(FV),# Samples Surv,Pr(K),seed,exec_time,# Events(MC)_mean
1,20,10,400,1,6.83E-05,63911.63617,90108,936,127.2809172,217,0.000226059,58668.22578,90108,4632,0.000239511,1719,54.71881211,90797
1,20,10,400,2,4.50E-05,65493.5973,91078,834,115.7263282,244,0.000283539,58584.39687,91078,4488,0.000239511,1729,56.21085099,90797
1,20,10,400,3,0.000229475,63804.12071,91124,895,110.4567873,258,0.000140555,58596.16557,91124,4640,0.000239511,1739,59.72667654,90797
1,20,10,400,4,0.000406894,64264.14513,90230,924,144.5887237,196,0.000232702,58445.0073,90230,4430,0.000239511,1749,58.33492557,90797
1,20,10,400,5,2.30E-05,65108.9942,91258,941,130.396759,215,0.000286372,58674.98318,91258,4667,0.000239511,1759,58.35229498,90797
1,20,10,400,6,0.000122739,64770.34069,91571,895,114.5669932,249,0.000375194,58662.30223,91571,4613,0.000239511,1769,58.41670071,90797
1,20,10,400,7,0.00037466,64643.27322,90984,1053,119.7429483,238,0.000283669,58428.76042,90984,4410,0.000239511,1779,58.43864483,90797
1,20,10,400,8,0.000451488,64444.39658,90029,949,129.5833905,217,0.000130368,58250.16962,90029,4384,0.000239511,1789,57.39055382,90797
2,20,10,800,1,0.000204223,128309.212,180868,1936,134.0515321,425,0.000254168,117127.1854,180868,9108,0.000239511,1719,116.9179206,181736
2,20,10,800,2,0.000265663,130405.5732,181921,1582,120.1002162,475,0.000383831,117196.1825,181921,8906,0.000239511,1729,117.1196452,181736
2,20,10,800,3,0.000286001,130035.3318,182387,1763,123.2130312,459,0.000142034,116896.6619,182387,9196,0.000239511,1739,117.9082929,181736
2,20,10,800,4,0.00028249,129994.9311,181166,1792,134.5707061,423,0.000132027,116799.8601,181166,9068,0.000239511,1749,117.5633705,181736
2,20,10,800,5,2.35E-05,129628.6054,181757,1998,131.2955845,433,0.000219202,117077.7997,181757,8992,0.000239511,1759,117.8659947,181736
2,20,10,800,6,0.000125678,130326.0439,182352,1736,129.8203581,439,0.000246018,117344.9327,182352,8995,0.000239511,1769,118.4871743,181736
2,20,10,800,7,0.000344259,130194.4844,182196,1948,120.8650045,471,0.000217616,116976.7208,182196,8895,0.000239511,1779,117.5200813,181736
2,20,10,800,8,0.000304121,129462.4407,181246,1793,119.2892844,476,0.000314219,116857.0587,181246,9191,0.000239511,1789,117.7290548,181736
3,20,10,1600,1,0.000187127,259040.6858,361939,3770,124.3244649,919,0.000258865,234343.3648,361939,18060,0.000239511,1719,240.0907045,362879
3,20,10,1600,2,0.000293505,258628.3036,362016,3630,119.0931498,957,0.000302736,233893.9464,362016,17986,0.000239511,1729,240.2881844,362879
3,20,10,1600,3,0.000298432,259846.18,364072,3517,123.0028464,927,0.000219002,234070.1273,364072,18267,0.000239511,1739,242.2510435,362879
3,20,10,1600,4,0.000233046,259156.6255,362477,3621,121.4924678,938,0.000195279,233750.6008,362477,18012,0.000239511,1749,241.8426995,362879
3,20,10,1600,5,0.000224651,259529.9531,363170,3770,127.4084486,897,0.000250755,234118.6648,363170,18072,0.000239511,1759,242.3548404,362879
3,20,10,1600,6,0.000158736,258503.0263,362628,3670,126.8761296,899,0.000147764,233712.5348,362628,18671,0.000239511,1769,244.2049461,362879
3,20,10,1600,7,0.000239003,259001.5579,363730,3706,127.7362291,892,0.00019313,234005.8768,363730,18133,0.000239511,1779,241.0061332,362879
3,20,10,1600,8,0.000277051,259456.5966,363002,3524,114.781561,995,0.000266127,233679.6288,363002,18283,0.000239511,1789,241.8779855,362879
4,20,10,3200,1,0.000222936,521512.1295,728136,7687,122.5376804,1865,0.000299955,468829.9494,728136,36307,0.000239511,1719,514.9699936,726415
4,20,10,3200,2,0.000249825,519183.0076,726072,7305,119.3460697,1909,0.000227022,467582.7495,726072,35931,0.000239511,1729,538.3310012,726415
4,20,10,3200,3,0.000330927,520080.4282,729370,7296,115.1498923,1984,0.00030529,467945.931,729370,36088,0.000239511,1739,529.0261966,726415
4,20,10,3200,4,0.000191928,520755.8468,727128,7417,116.864741,1950,0.000212662,467613.7092,727128,36862,0.000239511,1749,526.1439183,726415
4,20,10,3200,5,0.000217281,517529.4768,724213,7179,121.7917122,1875,0.000196579,467072.6485,724213,35837,0.000239511,1759,521.8634235,726415
4,20,10,3200,6,0.000259417,516693.5896,724904,7135,124.5478293,1834,0.000210473,467388.5744,724904,35770,0.000239511,1769,524.3480286,726415
4,20,10,3200,7,0.000301121,519103.5999,727412,7502,116.1769226,1965,0.000185073,467190.7474,727412,36350,0.000239511,1779,524.110442,726415
4,20,10,3200,8,0.00020857,517655.5925,724088,7253,119.1783796,1912,0.000225476,467062.7531,724088,36372,0.000239511,1789,521.257542,726415
5,20,10,6400,1,0.00020898,1039985.693,1454678,15147,123.2567251,3707,0.000298194,937001.5881,1454678,72528,0.000239511,1719,1783.719916,1452802
5,20,10,6400,2,0.000228345,1039837.082,1453468,14726,116.6996019,3915,0.000225057,935040.8502,1453468,71874,0.000239511,1729,1174.604851,1452802
5,20,10,6400,3,0.000274518,1038547.243,1455174,14555,117.7567052,3875,0.000271743,935171.8438,1455174,72463,0.000239511,1739,1176.917197,1452802
5,20,10,6400,4,0.000183293,1037189.736,1453082,15049,114.5793366,3989,0.000240371,935449.4708,1453082,73054,0.000239511,1749,1151.325788,1452802
5,20,10,6400,5,0.000199607,1036037.056,1452716,14524,120.9631031,3778,0.000225302,935144.5302,1452716,72538,0.000239511,1759,1211.187715,1452802
5,20,10,6400,6,0.000294113,1035946.411,1451249,14563,114.8837938,3973,0.000224946,934969.9583,1451249,72687,0.000239511,1769,1177.968582,1452802
5,20,10,6400,7,0.000275465,1039448.757,1453913,14619,116.3788041,3928,0.000216676,934508.2055,1453913,72003,0.000239511,1779,1225.175454,1452802
5,20,10,6400,8,0.000234258,1033918.582,1448140,14918,120.1734888,3796,0.000221937,934215.955,1448140,72573,0.000239511,1789,1193.135301,1452802
