,,,n,n,n,mean,mean,mean,std,std,std,min,min,min,max,max,max,SE,SE,SE
,,,PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K)
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,
5.0,0.4,200.0,12,12,12,0.05713291154884068,0.042059316629092375,0.05714392571663655,0.002653845266588879,0.004539225595668656,0.0,0.05295130170557375,0.03279732037095531,0.05714392571663656,0.06102121908636496,0.049553539624532524,0.05714392571663656,0.0007660991395263519,0.001310361559785869,0.0
5.0,0.6,200.0,12,12,12,0.05713291154884068,0.03700755038556131,0.05714392571663655,0.002653845266588879,0.0035830239318797768,0.0,0.05295130170557375,0.033490594392848225,0.05714392571663656,0.06102121908636496,0.04585095937566534,0.05714392571663656,0.0007660991395263519,0.0010343299157918302,0.0
5.0,1.0,200.0,12,12,12,0.05713291154884068,0.04609924966974224,0.05714392571663655,0.002653845266588879,0.0033423302186591218,0.0,0.05295130170557375,0.04150207227483705,0.05714392571663656,0.06102121908636496,0.051481940548235954,0.05714392571663656,0.0007660991395263519,0.0009648476257317324,0.0
10.0,0.2,400.0,12,12,12,0.009073206185319335,0.004561579448424849,0.008645201348245039,0.0013105047804940714,0.0006185972181539762,0.0,0.007706713906273863,0.003559617483190756,0.00864520134824504,0.011903172547797169,0.00560068431113789,0.00864520134824504,0.00037831014389627177,0.00017857363521057594,0.0
10.0,0.4,400.0,12,12,12,0.009073206185319335,0.0038631307597422368,0.008645201348245039,0.0013105047804940714,0.0004812184907672184,0.0,0.007706713906273863,0.0031767921294190505,0.00864520134824504,0.011903172547797169,0.00475646031502435,0.00864520134824504,0.00037831014389627177,0.0001389158125917395,0.0
10.0,0.6,400.0,12,12,12,0.009073206185319335,0.0034412733737820733,0.008645201348245039,0.0013105047804940714,0.0003312227828212293,0.0,0.007706713906273863,0.003077628406419934,0.00864520134824504,0.011903172547797169,0.004072634170064122,0.00864520134824504,0.00037831014389627177,9.561578141178684e-05,0.0
10.0,1.0,400.0,12,12,12,0.009073206185319335,0.005798837306798842,0.008645201348245039,0.0013105047804940714,0.0012078110042455536,0.0,0.007706713906273863,0.0038770484905028403,0.00864520134824504,0.011903172547797169,0.007600038083427951,0.00864520134824504,0.00037831014389627177,0.0003486650042156813,0.0
20.0,0.2,800.0,12,12,12,0.0002475267439321666,5.078463167641135e-05,0.00023951057653476347,0.00018141878588804968,1.9930357124459732e-05,0.0,3.083480479921447e-05,2.5980871016603663e-05,0.00023951057653476344,0.0006080970105267796,8.909072701749578e-05,0.00023951057653476344,5.237109243426028e-05,5.753398525426101e-06,0.0
20.0,0.4,800.0,12,12,12,0.0002475267439321666,5.376411778848045e-05,0.00023951057653476347,0.00018141878588804968,1.0321452900650326e-05,0.0,3.083480479921447e-05,3.81736791980322e-05,0.00023951057653476344,0.0006080970105267796,7.189197347158476e-05,0.00023951057653476344,5.237109243426028e-05,2.9795468053092546e-06,0.0
20.0,0.6,800.0,12,12,12,0.0002475267439321666,5.122599119286153e-05,0.00023951057653476347,0.00018141878588804968,7.3331681432521716e-06,0.0,3.083480479921447e-05,3.935645372257024e-05,0.00023951057653476344,0.0006080970105267796,6.0424325398229184e-05,0.00023951057653476344,5.237109243426028e-05,2.116903300759715e-06,0.0
20.0,1.0,800.0,12,12,12,0.0002475267439321666,8.389479299624276e-05,0.00023951057653476347,0.00018141878588804968,5.0381764217947426e-05,0.0,3.083480479921447e-05,2.1727683365027133e-05,0.00023951057653476344,0.0006080970105267796,0.00021018321370038762,0.00023951057653476344,5.237109243426028e-05,1.4543962566740102e-05,0.0
