,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV(K),Pr(K),maxtime(MC),maxtime(FV),ratio_maxtime_mc_fv
0,0.7,20.0,600.0,50.0,1.0,0.05,1.0,1.0,1313.0,0.005923303562685839,4.828292579054565,5.4212222689182275e-05,0.0012267905197753549,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.05,1.0,2.0,1314.0,0.0014230391309821473,4.725229724062162,0.00041927947309279903,0.00030115766091448273,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.05,1.0,3.0,1315.0,0.001247618695520436,4.969857968668834,0.00022700314715210317,0.00025103709268669666,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.05,1.0,4.0,1316.0,0.0008076188825095754,4.662977624297455,0.0007233421652369474,0.00017319810378272076,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.05,1.0,5.0,1317.0,0.00015944369774827062,4.712110918028708,6.090075977974488e-05,3.3837000130500585e-05,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.05,1.0,6.0,1318.0,0.0008347026908666335,4.7797435111359965,0.00025498045124090106,0.00017463336451462657,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.05,1.0,7.0,1319.0,0.00136143853479085,4.933570852214897,0.000411120057278413,0.00027595398456265006,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.05,1.0,8.0,1320.0,0.00019533675630439154,4.683802122830965,0.00020513572412676122,4.1704741400630924e-05,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.05,1.0,9.0,1321.0,0.0004985603963375815,4.72074960675888,0.00021297340137924544,0.000105610430094359,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.05,1.0,10.0,1322.0,0.0005396366288250891,4.900706758195174,0.0006158071760268492,0.00011011404180074342,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.05,1.0,11.0,1323.0,0.000403673187498962,4.699332025771672,9.531600664035472e-05,8.590012054589297e-05,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.05,1.0,12.0,1324.0,0.00048399447374086654,4.771814218501101,4.109085409518039e-05,0.00010142776972840668,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.25,5.0,1.0,1313.0,0.005464214824884979,19.69308111492303,5.4235821583666495e-05,0.0002774687613887044,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.25,5.0,2.0,1314.0,0.0031216559040942392,19.877808216072935,0.0004191070730016213,0.00015704225889301565,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.25,5.0,3.0,1315.0,0.004188855821191245,19.29009001681392,0.00022706564418510308,0.00021715066220738687,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.25,5.0,4.0,1316.0,0.0018899495446286613,20.079423997506638,0.000723397426139346,9.412369323260199e-05,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.25,5.0,5.0,1317.0,0.0046996742592480606,19.856192437692567,6.099548252003798e-05,0.00023668557171750481,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.25,5.0,6.0,1318.0,0.004167088530336216,19.175353502780222,0.0002547710680543463,0.00021731482184837074,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.25,5.0,7.0,1319.0,0.005276817590862968,18.856142026874064,0.00041136741027739484,0.00027984608852343,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.25,5.0,8.0,1320.0,0.0012178595597820054,20.02935218373653,0.00020520278202153916,6.080374185895464e-05,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.25,5.0,9.0,1321.0,0.003169852708901336,19.489891583563967,0.00021315083135555943,0.00016264085899659423,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.25,5.0,10.0,1322.0,0.006458259269115213,19.923306190572,0.0006156196084442633,0.00032415600138552085,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.25,5.0,11.0,1323.0,0.0019110326914136906,19.821823487774335,9.530205453566257e-05,9.641053925197011e-05,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.25,5.0,12.0,1324.0,0.005659097369909905,19.55445369882349,4.1120992611149646e-05,0.000289401967299674,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.5,10.0,1.0,1313.0,0.04998355601134558,104.91735282729366,5.426898099990529e-05,0.0004764088557745487,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.5,10.0,2.0,1314.0,0.02865585298201662,106.86671784731897,0.0004212373538129551,0.0002681457198204345,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.5,10.0,3.0,1315.0,0.037714890003283146,106.49299455129444,0.00022780792574792117,0.0003541537183942839,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.5,10.0,4.0,1316.0,0.015728490377374345,110.4603247256803,0.0007269909497586495,0.00014239040502945144,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.5,10.0,5.0,1317.0,0.035261200957517204,105.5738367311425,6.104211754913426e-05,0.0003339956380226517,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.5,10.0,6.0,1318.0,0.03626818996581839,109.04493043654948,0.0002547844884060582,0.00033259858867920453,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.5,10.0,7.0,1319.0,0.02411867480333654,102.36100767580925,0.00041269504066104065,0.0002356236554423492,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.5,10.0,8.0,1320.0,0.021402304693199543,115.15734734828324,0.0002068916262995316,0.00018585270663165035,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.5,10.0,9.0,1321.0,0.04317743136902889,109.87963468661486,0.00021463391097329912,0.0003929520833607996,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.5,10.0,10.0,1322.0,0.026017604061734707,84.89976386383273,0.0006165626965899764,0.00030645084129401443,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.5,10.0,11.0,1323.0,0.016160773463108603,114.02647085225894,9.551346635030799e-05,0.00014172826136176473,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
0,0.7,20.0,600.0,50.0,1.0,0.5,10.0,12.0,1324.0,0.02550976051828477,123.25318995590465,4.1293255624829896e-05,0.00020697038776368548,0.00023951057653476344,42857.142857142855,71.42857142857143,1.0
