,,,E(T),E(T),E(T),E(T),E(T),E(T),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K)
,,,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE
K,buffer_size_activation,N,,,,,,,,,,,,,,,,,,,,,,,,
60,0.016666666666666666,6400,15,6.864891951391272,0.2050514016470586,6.609209760837862,7.386019410265428,0.05294404424636973,0,,,,,,15,2.92938895269762e-09,7.669587983428889e-09,0.0,2.9442989337225205e-08,1.9802791021395074e-09,15,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.05,6400,15,4.401067121749066,0.08832689460920055,4.250836073382248,4.5767620477715605,0.022805906122910093,0,,,,,,15,1.3027845590866491e-08,3.956871313884257e-08,0.0,1.518938001480883e-07,1.0216597801173059e-08,15,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.08333333333333333,6400,15,6.086699391066189,0.14904317598130004,5.82580464658898,6.283530316329117,0.03848278256276242,0,,,,,,15,2.8093195992945888e-08,7.480711583420239e-08,0.0,2.848971191148155e-07,1.9315114253578336e-08,15,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.11666666666666667,6400,15,9.982733376362004,0.1402265844461861,9.783875621895863,10.19229265116135,0.03620634841704178,0,,,,,,15,5.725281749259093e-09,1.2892554408025293e-08,0.0,4.637006058864258e-08,3.3288432341569986e-09,15,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.15,6400,15,17.116700140482994,0.5413597182260003,16.316902095941405,18.078213082482126,0.13977847819978925,0,,,,,,15,1.4649024640039897e-08,2.0993261573853346e-08,0.0,6.462005725368134e-08,5.420436830540674e-09,15,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.2,6400,15,40.643076795220416,1.1566270406166799,38.58865569491645,42.82866116286991,0.29863981773877135,0,,,,,,15,1.492166933127374e-08,1.4948118030687243e-08,0.0,3.9155917402386827e-08,3.859587479332966e-09,15,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.25,6400,15,96.3683485103766,4.77537568219568,88.09575009375546,102.25899702028761,1.2329966992685166,0,,,,,,15,8.324436409079114e-09,7.430710233802861e-09,0.0,2.1787413064768792e-08,1.9186011324007667e-09,15,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.3,6400,15,225.5491111504827,11.119982805178976,206.56249407905935,244.70727722861156,2.8711672143047338,0,,,,,,15,1.001292756105941e-08,9.624113706918981e-09,0.0,2.67444473177042e-08,2.484935473926916e-09,15,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.35,6400,15,536.6269672384632,23.430538482621596,501.42689285092877,572.3393194103822,6.049739022391029,0,,,,,,15,7.545206326143012e-09,7.77480011559018e-09,6.823222850163322e-10,2.2789878708203412e-08,2.0074447578514843e-09,15,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
60,0.4,6400,15,1283.3109476790346,49.7093072308839,1200.2690874665307,1374.1237926135911,12.83488793711475,0,,,,,,15,1.2801588303989187e-08,1.2154187978209314e-08,1.7955555613490956e-09,4.198593123641902e-08,3.138197841751938e-09,15,1.2493235499773403e-08,0.0,1.2493235499773401e-08,1.2493235499773401e-08,0.0
